"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","设备管理","0","PUT /device/{device_id}/status","3","0","ST-P01","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N08","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N09","0"
"0","设备管理","0","POST /device/register","7","0","REG-N12~N18","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N01","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N06","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N03","0"
"0","设备管理","0","GET /device/list","2","0","LIST-N01","0"
"0","设备管理","0","GET /device/{device_id}","2","0","GET-P02","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N05","0"
"0","设备管理","0","PUT /device/{device_id}/status","3","0","ST-N17~N19","0"
"0","设备管理","0","PUT /device/{device_id}/status","2","0","ST-N10","0"
"0","设备管理","0","PUT /device/{device_id}/status","6","0","ST-P02","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N10","0"
"0","设备管理","0","POST /device/register","6","0","REG-P02~P07","0"
"0","设备管理","0","PUT /device/{device_id}/status","3","0","ST-N21~N23","0"
"0","设备管理","0","GET /mock/server500","3","0","MOCK-N02a~c","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-P03","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N01","0"
"0","设备管理","0","POST /device/register","3","0","REG-P08~P10","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N08","0"
"0","设备管理","0","GET /device/{device_id}","3","0","GET-P07","0"
"0","设备管理","0","POST /device/register","10","0","REG-N02~N07","0"
"0","设备管理","0","PUT /device/{device_id}/status","2","0","ST-N11~N12","0"
"0","设备管理","0","GET /device/{device_id}","3","0","GET-N07~N09","0"
"0","设备管理","0","GET /device/list","1","0","LIST-P01","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N04","0"
"0","设备管理","0","POST /device/register","1","0","REG-N10","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N09","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P09","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N24","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N02","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N10","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-P03","0"
"0","设备管理","0","POST /device/register","1","0","REG-N26","0"
"0","设备管理","0","GET /device/list","1","0","LIST-N02","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-P04","0"
"0","设备管理","0","POST /device/register","1","0","REG-N20","0"
"0","设备管理","0","PUT /device/{device_id}/status","5","0","ST-N03~N05","0"
"0","设备管理","0","POST /device/register","3","0","REG-N21~N23","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N13","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N06","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N06","0"
"0","设备管理","0","GET /device/list","1","0","LIST-N05","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P04","0"
"0","设备管理","0","POST /device/register","1","0","REG-N08","0"
"0","设备管理","0","PUT /device/{device_id}/status","3","0","ST-N14~N16","0"
"0","设备管理","0","GET /device/list","2","0","LIST-N03","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N02","0"
"0","设备管理","0","POST /device/register","2","0","REG-N11","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P03","0"
"0","设备管理","0","GET /device/{device_id}","2","0","GET-N04","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-N05","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N04","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N03","0"
"0","设备管理","0","GET /device/list","1","0","LIST-P04","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N20","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P08","0"
"0","设备管理","0","跨接口 E2E / 协议契约","1","0","E2E-02","0"
"0","设备管理","0","POST /device/register","1","0","REG-N19","0"
"0","设备管理","0","跨接口 E2E / 协议契约","1","0","CT-02","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N02","0"
"0","设备管理","0","POST /device/register","1","0","REG-P12","0"
"0","设备管理","0","GET /device/list","2","0","LIST-N06~N07","0"
"0","设备管理","0","POST /device/register","1","0","REG-P11","0"
"0","设备管理","0","POST /device/register","1","0","REG-N01","0"
"0","设备管理","0","PUT /device/{device_id}/status","1","0","ST-N07","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N05","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N07","0"
"0","设备管理","0","POST /device/register","1","0","REG-P01","0"
"0","设备管理","0","POST /device/register","1","0","REG-N09","0"
"0","设备管理","0","DELETE /device/{device_id}","1","0","DEL-N01","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N03","0"
"0","设备管理","0","GET /device/list","1","0","LIST-P02","0"
"0","设备管理","0","PUT /device/{device_id}/status","2","0","ST-N08","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P01","0"
"0","设备管理","0","GET /device/{device_id}","1","0","GET-P06","0"
"0","设备管理","0","POST /device/register","1","0","REG-N25","0"
"0","设备管理","0","GET /mock/server500","1","0","MOCK-N01","0"
"0","设备管理","0","POST /device/register","1","0","REG-N24","0"
