"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","改为合法状态：online","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","PATCH 方法","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","4","JSON 语法错误","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","5","字段类型错误 {'field': 'device_id', 'value': None}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","ID 不存在","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","2","尾斜杠 307 重定向","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","4","空路径 GET /device/","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","错误方法 PUT","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","17","device_id 长度边界 {'length': 1}","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","17","id 大小写不匹配不得误删","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","4","status 类型错误扩展 True","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","错误方法 GET","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","21","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","2","PATCH 方法","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","16","合法长度边界 {'field': 'device_name', 'length': 1}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","非 application/json 发送：form","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","15","合法长度边界 {'field': 'device_id', 'length': 1}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","错误方法 POST","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","错误方法 PUT","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","22","同态重复提交幂等","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","设备不存在","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","12","中文 / 空格类名称：spaces","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","HEAD 方法无响应体","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","20","三态查询：fault","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","5","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","不存在设备 + 非法状态 ONLINE（校验顺序）","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","字段类型错误 {'field': 'device_id', 'value': 123}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","特殊 id 查无此设备：{'kind': 'emoji', 'id': '😀'}","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","列表包含已注册设备","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceList","test_device_list","",""
"","3","字段类型错误 {'field': 'device_type', 'value': None}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","错路径 /device/{id}/delete","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","3","JSON 语法错误","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","字段类型错误 {'field': 'device_type', 'value': 123}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","路径大写 /mock/SERVER500","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","21","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","不存在设备 + 非法状态 busy（校验顺序）","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","尾斜杠 307 重定向","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","错误方法 POST","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","2","尾斜杠 307 重定向","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","15","删除后再改","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","17","合法长度边界 {'field': 'device_id', 'length': 64}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","16","合法长度边界 {'field': 'device_name', 'length': 128}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","15","中文 / 空格类名称：spaces_only","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","12","合法长度边界 {'field': 'device_type', 'length': 64}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","5","多一段子路径 /mock/server500/xxx","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","10","携带 JSON 请求体删除","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","3","错误方法 DELETE","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","8","重复注册不得覆盖原数据","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","15","中文 / 空格类名称：chinese","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","路径不被 {device_id} 抢占","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","11","多传未知字段","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","顶层 body 为 null 字面量","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","非法状态 ONLINE","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","5","非 application/json 发送：form","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","不存在设备 + 数字类型（Pydantic 最先校验）","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","json={} 缺少 status","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","16","id 大小写不匹配","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
